tanggal,kandang,lokasi,umur_hari,populasi_awal,populasi_akhir,mortalitas,suhu_c,kelembaban,wqi,aqi,berat_rata_kg,total_pakan_kg,fcr,performa
2025-08-08,K033,B,30,4781,4676,105,27.7,73.8,78.9,99.8,1.99,15.78,1.7,Sedang
2025-02-01,K019,A,33,4125,4035,90,25.9,74.8,85.3,76.0,1.87,13.5,1.78,Sedang
2025-02-28,K095,E,33,6547,6368,179,32.0,74.6,100.0,112.6,1.66,20.38,1.93,Boros
2025-09-22,K093,E,30,5504,5366,138,29.4,81.1,89.9,83.7,1.71,17.02,1.85,Boros
2025-08-04,K085,E,32,5593,5437,156,32.2,68.0,77.8,89.5,1.61,17.61,2.01,Boros
2025-11-03,K041,C,33,5909,5734,175,34.4,74.1,72.4,127.1,1.55,17.74,2.0,Boros
2025-12-13,K015,A,35,6830,6675,155,24.4,80.9,89.6,71.1,1.99,23.22,1.75,Sedang
2025-05-08,K087,E,34,3459,3368,91,32.4,73.0,87.1,75.8,2.05,13.15,1.91,Boros
2025-02-08,K017,A,33,3839,3755,84,25.8,69.3,91.7,86.0,2.08,13.74,1.76,Sedang
2025-02-04,K062,D,35,4750,4607,143,32.0,79.9,65.4,98.3,1.53,13.54,1.93,Boros
2025-03-24,K022,B,28,4531,4423,108,29.8,70.8,85.0,100.1,1.87,14.48,1.75,Sedang
2025-04-30,K019,A,35,7916,7743,173,25.9,73.3,97.2,88.5,1.87,26.14,1.81,Boros
2025-11-30,K099,E,28,3778,3679,99,31.4,70.6,93.4,101.2,1.61,10.44,1.76,Sedang
2025-02-19,K064,D,31,3976,3849,127,32.8,76.4,74.0,93.5,1.32,10.22,2.0,Boros
2025-08-04,K098,E,34,3405,3328,77,27.7,79.0,80.2,94.3,2.0,12.0,1.8,Sedang
2025-11-03,K021,B,31,3578,3496,82,30.6,75.5,80.4,122.3,1.76,10.89,1.77,Sedang
2025-07-13,K086,E,29,3729,3640,89,28.5,70.3,62.3,110.6,1.57,8.9,1.56,Efisien
2025-05-16,K027,B,30,7796,7614,182,28.2,57.0,72.4,75.2,1.81,22.87,1.66,Sedang
2025-10-29,K049,C,35,5429,5287,142,30.6,56.4,81.2,65.5,1.6,16.23,1.92,Boros
2025-12-10,K009,A,34,4517,4421,96,25.8,71.0,84.2,86.7,2.01,15.75,1.77,Sedang
2025-11-29,K019,A,32,6372,6233,139,27.3,78.8,84.5,99.7,1.8,20.12,1.8,Sedang
2025-04-13,K090,E,28,4774,4653,121,31.0,62.4,82.8,114.3,1.39,11.57,1.79,Sedang
2025-03-25,K028,B,29,5497,5378,119,28.2,65.9,87.1,113.4,1.89,18.14,1.78,Sedang
2025-11-27,K051,C,33,7008,6817,191,31.6,63.1,95.4,98.7,1.73,22.22,1.89,Boros
2025-08-23,K012,A,34,5658,5533,125,28.7,78.7,85.6,68.0,2.15,21.08,1.77,Sedang
2025-03-14,K045,C,30,6134,5946,188,33.3,63.5,69.6,127.5,1.45,16.01,1.85,Boros
2025-12-26,K023,B,29,6267,6129,138,28.1,58.0,81.6,104.8,1.8,18.35,1.67,Sedang
2025-02-25,K037,B,30,3929,3841,88,28.8,67.5,69.3,116.8,1.85,11.66,1.64,Sedang
2025-04-26,K048,C,32,7458,7241,217,34.2,67.5,91.3,108.9,1.6,23.04,1.99,Boros
2025-08-22,K064,D,29,6158,5991,167,27.6,74.1,61.7,94.6,1.32,13.59,1.72,Sedang
2025-07-15,K006,A,33,4301,4210,91,25.5,71.1,88.8,94.1,1.9,13.42,1.68,Sedang
2025-03-10,K068,D,30,4377,4258,119,30.3,81.3,59.7,124.1,1.31,10.03,1.8,Boros
2025-04-19,K032,B,30,4134,4051,83,26.6,72.5,76.8,94.1,2.11,13.93,1.63,Sedang
2025-05-19,K098,E,33,7260,7077,183,30.6,80.5,72.1,87.6,2.04,27.12,1.88,Boros
2025-01-08,K085,E,35,4845,4726,119,28.9,73.9,72.9,75.0,1.97,17.6,1.89,Boros
2025-02-16,K045,C,33,5667,5507,160,30.8,70.2,77.2,91.7,1.55,16.57,1.95,Boros
2025-12-18,K052,C,33,7810,7620,190,28.0,57.5,74.4,144.9,1.27,17.8,1.85,Boros
2025-09-06,K064,D,31,5819,5638,181,32.0,84.8,62.2,102.5,1.34,14.45,1.91,Boros
2025-12-31,K007,A,35,4724,4630,94,25.7,79.8,88.0,70.6,2.31,17.14,1.6,Sedang
2025-07-27,K031,B,28,7152,6963,189,31.9,72.4,84.8,120.0,1.44,18.27,1.82,Boros
2025-10-30,K094,E,30,6336,6163,173,32.0,73.2,65.0,106.8,1.54,17.35,1.82,Boros
2025-09-17,K034,B,31,5092,4975,117,27.5,68.5,81.1,83.1,1.98,17.66,1.8,Sedang
2025-03-24,K061,D,29,7545,7346,199,27.2,75.9,69.5,94.3,1.39,16.92,1.66,Sedang
2025-01-13,K090,E,34,4050,3959,91,26.2,80.2,83.7,88.3,1.93,13.88,1.82,Boros
2025-08-19,K093,E,32,4304,4202,102,25.1,72.2,76.8,91.5,1.72,12.26,1.7,Sedang
2025-01-31,K086,E,35,6953,6783,170,29.0,61.7,87.0,130.9,1.76,22.5,1.89,Boros
2025-06-27,K014,A,34,7045,6884,161,26.5,81.8,90.8,96.6,1.83,23.5,1.87,Boros
2025-12-04,K034,B,28,4809,4692,117,29.3,62.3,86.9,88.8,1.71,14.22,1.78,Sedang
2025-08-02,K096,E,32,7523,7338,185,28.2,65.1,79.4,108.7,1.62,20.77,1.75,Sedang
2025-04-10,K068,D,28,6899,6727,172,27.2,82.3,59.7,97.1,1.52,17.99,1.76,Sedang
2025-08-05,K091,E,31,7888,7690,198,30.3,72.5,70.7,103.5,1.79,24.01,1.75,Sedang
2025-07-20,K094,E,32,4023,3924,99,29.5,73.1,75.4,92.4,1.53,10.84,1.8,Boros
2025-12-21,K041,C,31,5788,5649,139,28.9,56.5,73.3,76.7,1.74,17.46,1.78,Sedang
2025-04-10,K013,A,35,4878,4777,101,25.0,85.5,90.4,84.5,2.28,19.51,1.79,Sedang
2025-08-25,K045,C,31,3355,3263,92,30.2,69.9,71.7,119.4,1.33,8.38,1.93,Boros
2025-09-09,K021,B,32,7653,7491,162,28.7,72.9,80.1,105.1,2.11,27.28,1.73,Sedang
2025-06-14,K013,A,31,3739,3662,77,25.7,73.6,88.4,101.3,2.03,12.74,1.71,Sedang
2025-12-12,K060,C,35,5222,5095,127,29.4,69.3,83.9,109.5,1.72,16.26,1.86,Boros
2025-08-21,K094,E,31,3719,3632,87,28.1,84.4,72.8,97.8,1.87,12.42,1.83,Boros
2025-05-15,K043,C,34,6285,6108,177,32.1,66.1,81.1,123.2,1.46,18.2,2.04,Boros
2025-05-12,K059,C,32,4241,4124,117,32.0,68.8,79.5,106.3,1.62,13.4,2.01,Boros
